Date,City_name,Views
2021-11-21,Addis Ababa,0
2021-11-22,Addis Ababa,0
2021-11-23,Addis Ababa,0
2021-11-24,Addis Ababa,0
2021-11-25,Addis Ababa,0
2021-11-26,Addis Ababa,0
2021-11-27,Addis Ababa,0
2021-11-28,Addis Ababa,0
2021-11-29,Addis Ababa,0
2021-11-30,Addis Ababa,0
2021-12-01,Addis Ababa,0
2021-12-02,Addis Ababa,0
2021-12-03,Addis Ababa,0
2021-12-04,Addis Ababa,0
2021-12-05,Addis Ababa,0
2021-12-06,Addis Ababa,0
2021-12-07,Addis Ababa,0
2021-12-08,Addis Ababa,0
2021-12-09,Addis Ababa,0
2021-12-10,Addis Ababa,0
2021-12-11,Addis Ababa,0
2021-12-12,Addis Ababa,0
2021-12-13,Addis Ababa,0
2021-12-14,Addis Ababa,0
2021-12-15,Addis Ababa,0
2021-12-16,Addis Ababa,0
2021-12-17,Addis Ababa,0
2021-12-18,Addis Ababa,0
2021-12-19,Addis Ababa,0
2021-12-20,Addis Ababa,0
2021-12-21,Addis Ababa,0
2021-12-22,Addis Ababa,0
2021-12-23,Addis Ababa,0
2021-12-24,Addis Ababa,0
2021-12-25,Addis Ababa,0
2021-12-26,Addis Ababa,0
2021-12-27,Addis Ababa,0
2021-12-28,Addis Ababa,0
2021-12-29,Addis Ababa,0
2021-12-30,Addis Ababa,0
2021-12-31,Addis Ababa,0
2022-01-01,Addis Ababa,0
2022-01-02,Addis Ababa,0
2022-01-03,Addis Ababa,0
2022-01-04,Addis Ababa,0
2022-01-05,Addis Ababa,0
2022-01-06,Addis Ababa,0
2022-01-07,Addis Ababa,0
2022-01-08,Addis Ababa,0
2022-01-09,Addis Ababa,0
2022-01-10,Addis Ababa,0
2022-01-11,Addis Ababa,0
2022-01-12,Addis Ababa,0
2022-01-13,Addis Ababa,0
2022-01-14,Addis Ababa,0
2022-01-15,Addis Ababa,0
2022-01-16,Addis Ababa,0
2022-01-17,Addis Ababa,0
2022-01-18,Addis Ababa,0
2022-01-19,Addis Ababa,0
2022-01-20,Addis Ababa,0
2022-01-21,Addis Ababa,0
2022-01-22,Addis Ababa,0
2022-01-23,Addis Ababa,0
2022-01-24,Addis Ababa,0
2022-01-25,Addis Ababa,0
2022-01-26,Addis Ababa,0
2022-01-27,Addis Ababa,0
2022-01-28,Addis Ababa,0
2022-01-29,Addis Ababa,0
2022-01-30,Addis Ababa,0
2022-01-31,Addis Ababa,0
2022-02-01,Addis Ababa,0
2022-02-02,Addis Ababa,0
2022-02-03,Addis Ababa,0
2022-02-04,Addis Ababa,0
2022-02-05,Addis Ababa,0
2022-02-06,Addis Ababa,0
2022-02-07,Addis Ababa,0
2022-02-08,Addis Ababa,0
2022-02-09,Addis Ababa,0
2022-02-10,Addis Ababa,0
2022-02-11,Addis Ababa,0
2022-02-12,Addis Ababa,0
2022-02-13,Addis Ababa,0
2022-02-14,Addis Ababa,0
2022-02-15,Addis Ababa,0
2022-02-16,Addis Ababa,0
2022-02-17,Addis Ababa,0
2022-02-18,Addis Ababa,0
2022-02-19,Addis Ababa,0
2022-02-20,Addis Ababa,0
2022-02-21,Addis Ababa,0
2022-02-22,Addis Ababa,0
2022-02-23,Addis Ababa,0
2022-02-24,Addis Ababa,0
2022-02-25,Addis Ababa,0
2022-02-26,Addis Ababa,0
2022-02-27,Addis Ababa,0
2022-02-28,Addis Ababa,0
2022-03-01,Addis Ababa,0
2022-03-02,Addis Ababa,0
2022-03-03,Addis Ababa,0
2022-03-04,Addis Ababa,0
2022-03-05,Addis Ababa,0
2022-03-06,Addis Ababa,0
2022-03-07,Addis Ababa,0
2022-03-08,Addis Ababa,0
2022-03-09,Addis Ababa,0
2022-03-10,Addis Ababa,0
2022-03-11,Addis Ababa,0
2022-03-12,Addis Ababa,0
2022-03-13,Addis Ababa,0
2022-03-14,Addis Ababa,0
2022-03-15,Addis Ababa,0
2022-03-16,Addis Ababa,0
2022-03-17,Addis Ababa,0
2022-03-18,Addis Ababa,0
2022-03-19,Addis Ababa,0
2022-03-20,Addis Ababa,0
2022-03-21,Addis Ababa,0
2022-03-22,Addis Ababa,0
2022-03-23,Addis Ababa,0
2022-03-24,Addis Ababa,0
2022-03-25,Addis Ababa,0
2022-03-26,Addis Ababa,0
2022-03-27,Addis Ababa,0
2022-03-28,Addis Ababa,0
2022-03-29,Addis Ababa,0
2022-03-30,Addis Ababa,0
2022-03-31,Addis Ababa,0
2022-04-01,Addis Ababa,0
2022-04-02,Addis Ababa,0
2022-04-03,Addis Ababa,0
2022-04-04,Addis Ababa,0
2022-04-05,Addis Ababa,0
